"학교 구분","학교 구분 (세부)","SQ1_성별","SQ2_학년","SQ4_학교 소재지","도시규모","SQ5_9시 등교 여부","문1_독서 범위에 대한 생각1","문1_독서 범위에 대한 생각2","문1_독서 범위에 대한 생각3","문1_독서 범위에 대한 생각4","문1_독서 범위에 대한 생각5","문1_독서 범위에 대한 생각6","문1_독서 범위에 대한 생각7","문1_독서 범위에 대한 생각8","문1_독서 범위에 대한 생각9","문1_독서 범위에 대한 생각10","문1_독서 범위에 대한 생각11","문1_독서 범위에 대한 생각12","문1_독서 범위에 대한 생각13","문1_독서 범위에 대한 생각14","문1_독서 범위에 대한 생각15","문2-1_1) 평일 여가 시간 (시간)","문2-1_1) 평일 여가 시간 (분)","문2-1_2) 휴일 여가 시간 (시간)","문2-1_2) 휴일 여가 시간 (분)","문2-2-1_1) 종이책 평일 독서 시간 (시간)","문2-2-1_1) 종이책 평일 독서 시간 (분)","문2-2-2_1) 종이책 휴일 독서 시간 (시간)","문2-2-2_1) 종이책 휴일 독서 시간 (분)","문2-2-1_2) 전자책 평일 독서 시간 (시간)","문2-2-1_2) 전자책 평일 독서 시간 (분)","문2-2-2_2) 전자책 휴일 독서 시간 (시간)","문2-2-2_2) 전자책 휴일 독서 시간 (분)","문2-2-1_3) 오디오북 평일 독서 시간 (시간)","문2-2-1_3) 오디오북 평일 독서 시간 (분)","문2-2-2_3) 오디오북 휴일 독서 시간 (시간)","문2-2-2_3) 오디오북 휴일 독서 시간 (분)","문3-1_독서빈도","문3-2_전년 대비 독서 시간 변화","문4-1_독서 선호도","문4-2_독서 장애 요인1","문4-2_독서 장애 요인2","문5_독서 유용성 여부","문6_1) 종이책 독서량","문6_2) 전자책 독서량","문6_3) 오디오북 독서량","문7_본인의 독서량 평가","문8_독서 목적1","문8_독서 목적2","문9_독서계기1","문9_독서계기2","문10_독서장소1","문10_독서장소2","문11-1_도서 선택시 이용 정보1","문11-1_도서 선택시 이용 정보2","문11-2_도서 선택시 도움을 받는 사람1","문11-2_도서 선택시 도움을 받는 사람2","문12_도서 입수 경로1","문12_도서 입수 경로2","문13_[초등학교]도서 선호분야1","문13_[초등학교]도서 선호분야2","문13_[초등학교]도서 선호분야3","문13_[중·고등학교]도서 선호분야1","문13_[중·고등학교]도서 선호분야2","문13_[중·고등학교]도서 선호분야3","문14_도서 구입처1","문14_도서 구입처2","문15_[도서 구입권수] 1) 종이책","문15_[도서 구입비] 1) 종이책","문15_[도서 구입권수] 2) 전자책","문15_[도서 구입비] 2) 전자책","문15_[도서 구입권수] 3) 오디오북","문15_[도서 구입비] 3) 오디오북","문16_가정(부모)의 독서 권장","문17_독서 대화","문18-1_독서 권유(부모님)","문18-2_독서 권유(선생님)","문19_아침독서 유무","문19-1_아침독서 운영빈도","문19-1_아침독서 운영시간","문19-2_아침독서 유용성","문19-3_아침독서 희망여부","문20_학교의 독서지도 방법1","문20_학교의 독서지도 방법2","문20_학교의 독서지도 방법3","문20_학교의 독서지도 방법4","문20_학교의 독서지도 방법5","문20_학교의 독서지도 방법6","문20_학교의 독서지도 방법7","문20_학교의 독서지도 방법8","문21_학교도서관 이용률","문21-1_학교도서관 이용빈도","문21-2_학교도서관 이용목적","문21-3_학교도서관 비이용이유1","문21-3_학교도서관 비이용이유2","문22_학교 밖 도서관 이용률","문22-1_주 이용 학교 밖 도서관1","문22-1_주 이용 학교 밖 도서관2","문22-2_학교 밖 도서관 이용빈도 (한 달 평균)","문22-2_학교 밖 도서관 이용빈도 (1년 평균)","문22-3_학교 밖 도서관 이용목적","문22-4_학교 밖 도서관 비이용이유","문23_학교의 독서 활동 유무","문24_독서 활동 참여율","문24-1_참여경험 독서 활동1","문24-1_참여경험 독서 활동2","문24-1_참여경험 독서 활동3","문24-1_참여경험 독서 활동4","문24-1_참여경험 독서 활동5","문24-1_참여경험 독서 활동6","문24-1_참여경험 독서 활동7","문24-1_참여경험 독서 활동8","문24-1_참여경험 독서 활동9","문24-1_참여경험 독서 활동10","문24-1_참여경험 독서 활동11","문24-1_참여경험 독서 활동12","문24-1_참여경험 독서 활동13","문24-2_독서활동 만족도","문24-3_독서 활동 비참여이유","문24-4_참여희망 독서 활동1","문24-4_참여희망 독서 활동2","문24-4_참여희망 독서 활동3","문24-4_참여희망 독서 활동4","문24-4_참여희망 독서 활동5","문24-4_참여희망 독서 활동6","문24-4_참여희망 독서 활동7","문24-4_참여희망 독서 활동8","문24-4_참여희망 독서 활동9","문24-4_참여희망 독서 활동10","문24-4_참여희망 독서 활동11","문24-4_참여희망 독서 활동12","문24-4_참여희망 독서 활동13","문25_독서 동아리 참여율","문25-1_참여경험 독서 동아리1","문25-1_참여경험 독서 동아리2","문25-1_참여경험 독서 동아리3","문25-1_참여경험 독서 동아리4","문25-1_참여경험 독서 동아리5","문25-1_참여경험 독서 동아리6","문25-1_참여경험 독서 동아리7","문25-2_독서 동아리 만족도","문25-3_독서 동아리 비참여이유","문25-4_참여희망 독서 동아리1","문25-4_참여희망 독서 동아리2","문25-4_참여희망 독서 동아리3","문25-4_참여희망 독서 동아리4","문25-4_참여희망 독서 동아리5","문25-4_참여희망 독서 동아리6","문25-4_참여희망 독서 동아리7","문26_학교의 한 학기 한 권 읽기 수업 유무","문26-1_한 학기 한 권 읽기 도서 종류","문26-2_한 학기 한 권 읽기 도서 선택 방법","문26-3_한 학기 한 권 읽기 도서 준비","문26-4_한 학기 한 권 읽기 독서 방식(장소)","문26-5_한 학기 한 권 읽기 독서 표현 활동1","문26-5_한 학기 한 권 읽기 독서 표현 활동2","문26-5_한 학기 한 권 읽기 독서 표현 활동3","문26-5_한 학기 한 권 읽기 독서 표현 활동4","문26-5_한 학기 한 권 읽기 독서 표현 활동5","문26-5_한 학기 한 권 읽기 독서 표현 활동6","문26-6_한 학기 한 권 읽기 수업 유용성","문27_[학교] 1) 학교 도서관의 편리한 이용 지원","문27_[학교] 2) 학급문고 도서량 증원","문27_[학교] 3) 양서 정보 제공","문27_[학교] 4) 독서 교육 진행","문27_[학교] 5) 다양한 독서 행사 지원","문27_[학교] 6) 독서 시간 확대","문27_[부모님] 1) 도서관 및 서점 함께 이용","문27_[부모님] 2) 도서관련 대화","문27_[부모님] 3) 함께 독서 활동","문27_[부모님] 4) 독서 모습을 보여주면 좋겠다","문27_[부모님] 5) 더 많은 도서 구입 지원","문27_[부모님] 6) 독서 강요 금지","문28_[코로나19이후 독서생활 변화] 1-1) 종이책 독서 시간","문28_[코로나19이후 독서생활 변화] 1-2) 전자책 독서 시간","문28_[코로나19이후 독서생활 변화] 1-3) 웹소설 독서 시간","문28_[코로나19이후 독서생활 변화] 1-4) 오디오북 독서 시간","문28_[코로나19이후 독서생활 변화] 2) 독서량","문28_[코로나19이후 독서생활 변화] 3-1) 서점 방문 횟수","문28_[코로나19이후 독서생활 변화] 3-2) 인터넷서점 이용 횟수","문28_[코로나19이후 독서생활 변화] 4-1) 도서관 방문 횟수","문28_[코로나19이후 독서생활 변화] 4-2) 도서관의 전자도서관 이용 횟수","문28_[코로나19이후 독서생활 변화] 5) 도서 구입비","문28_[코로나19이후 독서생활 변화] 6) 전자책/웹소설/오디오북 정기구독 이용 시간","문28_[코로나19이후 독서생활 변화] 7-1) 책/독서 관련 대면 모임/활동 참여 횟수","문28_[코로나19이후 독서생활 변화] 7-2) 책/독서 관련 비대면 모임/활동 참여 횟수","가중치"
1,1,1,6,3,1,2,1,3,4,10,11,,,,,,,,,,,1,30,2,10,0,20,0,20,1,10,1,50,0,0,0,0,1,2,3,4,,2,13,30,0,3,10,9,11,9,1,9,4,12,5,6,2,8,14,1,11,,,,9,,0,0,0,0,0,0,3,4,3,3,1,5,15,3,,3,,,,,,,,1,3,9,,,1,2,,2,,1,,1,2,,,,,,,,,,,,,,,1,98,,,,,,,,,,,,,1,2,,,,,,,3,,8,,,,,,,2,,,,,,,,,,,,3,3,3,4,2,4,4,3,4,5,5,3,3,3,3,3,3,4,3,3,3,4,4,3,3,1.10808725312492
1,1,1,6,3,1,2,1,3,5,8,10,11,,,,,,,,,,3,30,6,0,1,30,2,30,0,0,0,0,0,0,0,0,1,3,2,5,1,1,50,2,0,2,1,7,1,2,1,2,5,4,3,6,2,4,6,5,7,,,,7,5,2,2,0,0,0,0,3,3,2,1,1,5,15,2,,1,2,3,4,5,6,,,1,2,5,,,2,,,,,,7,1,1,1,5,6,7,,,,,,,,,,2,,6,8,10,12,,,,,,,,,,2,,,,,,,,,2,6,,,,,,,2,,,,,,,,,,,,2,3,1,1,2,3,3,4,3,2,3,1,2,3,3,4,2,4,2,3,3,2,4,5,5,1.10808725312492
1,1,1,6,3,1,2,1,5,9,13,11,,,,,,,,,,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,5,3,2,3,2,0,0,1,1,9,2,9,8,6,8,1,1,3,2,7,12,5,7,,,,5,3,0,0,0,0,0,0,1,5,1,4,2,,,,1,3,,,,,,,,2,,,2,8,2,,,,,,3,1,2,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,2,,,,,,,,,,,,3,3,3,3,3,2,3,3,2,3,5,1,3,3,3,3,3,3,3,5,3,3,3,3,3,1.10808725312492
1,1,1,6,3,1,2,1,6,,,,,,,,,,,,,,3,0,8,0,0,30,2,0,0,0,0,0,0,0,0,0,2,2,3,1,3,1,150,1,0,3,1,3,2,7,1,2,5,8,3,4,2,5,3,5,6,,,,1,7,1,1,0,0,0,0,2,4,1,3,2,,,,2,2,3,4,5,,,,,1,4,2,,,1,2,1,2,,1,,1,2,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,2,,,,,,,,,3,1,,,,,,,2,,,,,,,,,,,,2,1,2,2,1,1,1,1,1,1,1,1,2,3,3,3,2,2,1,1,2,2,3,3,3,1.10808725312492
1,1,1,6,3,1,2,1,6,7,,,,,,,,,,,,,2,0,4,0,0,20,1,0,0,0,0,0,0,0,0,0,3,3,4,2,5,2,5,0,0,4,9,1,3,2,2,1,5,3,1,3,2,4,11,12,5,,,,5,7,0,0,0,0,0,0,4,4,4,2,1,5,15,3,,2,4,6,,,,,,1,3,3,,,2,,,,,,6,1,1,1,3,5,6,,,,,,,,,,3,,8,11,,,,,,,,,,,,2,,,,,,,,,1,6,,,,,,,2,,,,,,,,,,,,3,3,3,2,2,3,3,4,4,4,4,1,3,3,3,3,3,4,4,3,4,4,3,5,4,1.10808725312492
1,1,1,6,3,1,2,1,6,7,8,9,10,,,,,,,,,,3,30,11,0,1,0,1,0,0,0,0,0,0,0,0,0,2,4,2,4,6,2,32,0,0,3,7,1,9,2,1,,1,5,6,3,5,1,3,5,12,,,,7,6,3,3,0,0,0,0,2,2,1,1,1,5,15,3,,2,4,6,,,,,,1,5,3,,,1,1,,3,,1,,1,1,5,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,2,,,,,,,,,4,4,,,,,,,2,,,,,,,,,,,,3,3,3,3,2,1,4,4,3,4,4,3,4,3,3,4,4,3,2,3,3,4,3,3,3,1.10808725312492
1,1,1,6,3,1,2,1,6,8,,,,,,,,,,,,,5,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,2,1,50,0,0,2,1,5,2,3,1,2,1,5,1,3,6,4,1,11,3,,,,99,,0,0,0,0,0,0,2,3,3,4,2,,,,2,4,6,,,,,,,1,3,2,,,2,,,,,,1,1,1,1,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,2,,,,,,,,,1,8,,,,,,,2,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.10808725312492
1,1,1,6,3,1,2,1,6,8,10,,,,,,,,,,,,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,1,200,0,0,2,1,2,1,2,1,6,5,9,3,4,6,2,3,5,2,,,,7,6,0,0,0,0,0,0,4,3,1,3,2,,,,2,2,4,,,,,,,1,3,7,,,1,1,3,,3,1,,1,2,,,,,,,,,,,,,,,3,1,2,7,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,5,5,5,5,3,5,5,5,1.10808725312492
1,1,1,6,3,1,2,2,3,5,6,7,8,9,10,11,13,,,,,,4,0,9,0,0,0,0,0,0,30,0,40,0,0,0,0,4,1,3,4,6,2,0,15,0,4,1,6,2,9,1,2,8,9,3,6,2,1,12,11,6,,,,7,8,0,0,1,1.7,0,0,5,5,1,2,1,5,15,2,,6,,,,,,,,1,4,5,,,1,1,,999,999,3,,1,1,1,5,,,,,,,,,,,,9,,11,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,3,2,4,4,4,3,3,3,3,3,4,1,3,2,2,3,3,3,3,3,3,3,3,3,3,1.10808725312492
1,1,1,6,3,1,2,4,6,14,,,,,,,,,,,,,1,2,2,30,1,2,0,0,0,0,0,0,0,0,3,4,2,2,1,5,6,1,1,2,3,5,9,2,9,10,7,5,9,1,3,6,6,1,9,7,12,,,,1,2,5,7,0,0,0,0,1,5,3,2,2,,,,1,5,,,,,,,,2,,,4,5,1,1,2,2,,5,,1,2,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,1,6,,,,,,,4,,4,,,,,,,2,,,,,,,,,,,,1,5,2,3,1,2,1,1,3,1,1,3,1,9,9,9,9,9,9,9,9,9,9,9,9,1.10808725312492
1,1,1,6,4,1,2,1,10,11,15,,,,,,,,,,,,4,0,5,0,1,0,0,0,0,30,1,0,0,0,0,0,5,5,4,2,4,3,3,1,0,3,10,1,2,3,1,2,1,5,1,3,2,4,14,12,11,,,,1,7,0,0,1,9999,0,0,3,5,4,3,1,3,10,3,,3,,,,,,,,2,,,4,9,2,,,,,,1,1,2,,,,,,,,,,,,,,,1,5,6,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,1,3,4,1,1,2,,,,,,2,3,3,3,4,5,5,3,5,5,5,4,1,3,4,2,9,3,4,9,5,5,5,4,5,5,0.99723676582902
1,1,1,6,4,1,2,1,2,3,4,5,6,7,8,9,10,11,,,,,1,0,4,0,0,30,0,30,0,30,0,30,0,30,0,30,1,2,3,12,,1,300,2,0,2,2,3,1,7,1,9,11,12,3,5,3,8,12,3,11,,,,1,3,0,0,0,0,0,0,1,4,2,2,1,3,10,2,,1,2,3,4,5,6,,,1,5,9,,,2,,,,,,10,1,1,1,3,4,5,6,7,8,9,12,,,,,2,,2,,,,,,,,,,,,,2,,,,,,,,,3,8,,,,,,,1,3,4,2,1,6,,,,,,2,3,3,3,3,3,3,3,3,1,3,4,5,2,2,2,5,2,2,2,4,4,4,5,5,5,0.99723676582902
1,1,1,6,4,1,2,1,2,5,,,,,,,,,,,,,4,30,7,30,0,30,0,0,1,30,2,0,0,0,0,30,1,1,3,6,,3,30,50,0,2,7,9,7,8,1,8,5,8,3,6,8,6,3,12,5,,,,7,,0,0,0,0,0,0,2,3,2,2,1,3,10,4,,2,6,,,,,,,2,,,1,4,2,,,,,,3,1,1,1,5,,,,,,,,,,,,4,,4,,,,,,,,,,,,,2,,,,,,,,,1,8,,,,,,,1,3,4,1,3,6,,,,,,3,3,4,3,3,2,3,5,4,5,5,5,2,3,3,3,1,3,5,3,4,5,5,3,5,5,0.99723676582902
1,1,1,6,4,1,2,1,2,6,11,,,,,,,,,,,,3,0,6,0,0,10,0,0,1,0,0,0,0,0,0,0,3,3,5,2,3,2,10,0,0,4,10,9,11,3,1,8,1,5,3,6,2,4,3,10,5,,,,6,7,0,0,0,0,0,0,1,5,3,2,1,3,10,2,,1,2,3,5,6,,,,2,,,1,9,2,,,,,,2,1,2,,,,,,,,,,,,,,,6,98,,,,,,,,,,,,,2,,,,,,,,,1,8,,,,,,,1,3,4,1,3,2,,,,,,2,3,4,2,3,4,5,3,5,5,3,5,5,2,3,3,3,2,3,3,3,3,3,3,3,3,0.99723676582902
1,1,1,6,4,1,2,1,2,6,7,8,10,12,,,,,,,,,3,0,5,0,3,0,3,0,0,0,0,0,0,0,0,0,1,4,1,10,1,2,150,0,0,2,1,2,7,1,1,2,1,8,3,6,1,5,5,9,3,,,,6,5,10,50,0,0,0,0,1,3,3,1,1,3,10,1,,1,2,4,5,6,,,,1,2,2,,,1,1,2,2,,1,,1,1,1,4,5,6,7,,,,,,,,,1,,1,3,4,5,7,8,9,11,,,,,,2,,,,,,,,,2,2,4,,,,,,1,3,4,2,1,2,3,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,4,3,5,3,2,3,4,3,0.99723676582902
1,1,1,6,4,1,2,1,2,6,8,10,,,,,,,,,,,4,0,13,0,1,30,1,50,0,0,0,0,0,0,0,0,1,4,2,6,1,2,200,0,0,2,7,9,7,8,1,2,1,5,6,3,5,1,3,5,12,,,,1,7,2,2,0,0,0,0,1,4,2,1,1,3,10,4,,1,2,3,6,,,,,2,,,4,5,1,1,,1,,1,,1,1,5,7,,,,,,,,,,,,4,,98,,,,,,,,,,,,,2,,,,,,,,,4,2,,,,,,,1,3,2,3,3,6,,,,,,3,4,2,4,4,4,4,4,4,2,4,4,2,4,3,3,3,4,3,3,4,3,3,3,3,3,0.99723676582902
1,1,1,6,4,1,2,1,5,6,10,,,,,,,,,,,,1,30,4,0,0,20,0,0,0,0,0,0,0,0,0,0,2,4,3,5,2,4,50,0,2,4,2,1,2,3,1,7,3,4,3,1,1,6,11,3,12,,,,6,1,10,6,0,0,0,0,1,4,3,3,1,3,10,3,,1,2,4,5,,,,,2,,,9,8,1,4,2,1,,1,,1,2,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,1,3,2,1,1,2,6,,,,,2,3,4,4,4,4,4,2,4,2,4,4,4,3,3,3,4,3,2,5,2,3,4,3,3,3,0.99723676582902
1,1,1,6,4,1,2,2,5,10,11,,,,,,,,,,,,4,0,8,0,1,0,0,30,1,0,1,0,0,0,0,0,2,4,4,4,2,3,50,0,0,3,6,5,10,2,1,2,5,9,3,4,2,6,1,14,12,,,,3,7,0,0,0,0,0,0,2,4,2,2,1,3,10,3,,2,,,,,,,,1,3,2,,,2,,,,,,10,1,1,1,4,,,,,,,,,,,,3,,8,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,1,3,2,2,1,2,,,,,,3,3,4,4,3,3,3,3,4,4,4,5,3,4,5,5,5,4,5,5,4,5,3,4,5,5,0.99723676582902
1,1,1,6,8,2,1,1,,,,,,,,,,,,,,,2,30,6,30,0,30,0,30,0,0,0,0,0,0,0,0,1,4,2,2,4,3,50,0,0,3,3,7,9,2,1,9,12,5,3,4,2,6,3,5,11,,,,3,6,0,0,0,0,0,0,1,5,1,3,1,5,10,3,,7,,,,,,,,2,,,9,4,2,,,,,,11,1,2,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,2,,,,,,,,,6,8,,,,,,,1,1,1,1,1,1,,,,,,3,3,3,2,3,3,3,3,4,2,5,5,3,2,3,3,3,2,3,3,3,3,3,3,3,3,1.047461460599
1,1,1,6,8,2,1,1,2,3,4,5,10,,,,,,,,,,6,0,14,0,0,30,0,0,0,0,0,0,0,0,0,0,2,4,3,4,3,2,20,0,0,4,1,9,3,2,1,7,5,8,1,4,2,1,11,3,5,,,,1,8,3,3,0,0,0,0,2,5,3,2,1,5,10,2,,2,3,6,,,,,,2,,,1,9,2,,,,,,1,1,1,4,,,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,1,1,1,1,3,1,,,,,,3,3,3,3,3,3,3,3,4,3,3,4,1,2,3,3,3,3,3,3,3,3,3,3,3,3,1.047461460599
1,1,1,6,8,2,1,1,2,3,6,7,8,,,,,,,,,,1,30,0,30,1,30,0,30,0,0,0,0,0,0,0,0,1,1,1,3,12,1,3,1,0,5,3,7,11,3,2,1,1,9,1,6,1,6,3,12,11,,,,1,7,0,0,0,0,0,0,2,4,2,1,1,5,10,1,,7,,,,,,,,1,5,1,,,1,1,2,2,,1,,1,2,,,,,,,,,,,,,,,3,4,7,11,,,,,,,,,,,2,,,,,,,,,3,1,2,3,4,5,6,,1,1,1,1,1,2,,,,,,2,1,1,1,2,1,1,1,1,1,1,1,1,5,3,2,3,3,3,2,5,5,2,3,5,5,1.047461460599
1,1,1,6,8,2,1,1,2,3,8,9,10,,,,,,,,,,4,0,12,0,1,0,1,30,0,0,0,0,0,0,0,0,2,2,1,1,4,1,20,0,0,2,7,3,9,7,1,2,7,1,3,6,5,1,7,11,5,,,,1,7,0,0,0,0,0,0,1,3,2,2,1,5,10,1,,1,2,4,5,,,,,1,3,2,,,1,1,2,1,,1,,1,1,4,5,,,,,,,,,,,,2,,2,3,4,11,,,,,,,,,,2,,,,,,,,,2,1,2,6,,,,,1,1,1,1,3,1,2,,,,,2,2,3,3,3,1,3,3,2,3,3,5,5,2,3,3,3,2,3,3,5,3,3,3,4,3,1.047461460599
1,1,1,6,8,2,1,1,2,4,5,,,,,,,,,,,,3,30,7,0,0,10,0,0,0,0,0,0,0,0,0,0,2,4,4,2,4,2,13,0,0,3,2,4,2,10,2,1,12,3,3,6,6,2,12,11,10,,,,2,3,2,5,0,0,0,0,3,4,2,2,1,5,10,2,,1,2,3,4,5,6,,,1,5,3,,,1,3,1,1,,1,,1,2,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,2,,,,,,,,,1,8,,,,,,,1,1,1,1,3,1,,,,,,3,2,3,3,3,4,4,3,4,3,2,4,2,4,3,3,3,3,4,3,4,4,4,3,3,3,1.047461460599
1,1,1,6,8,2,1,1,2,5,,,,,,,,,,,,,3,30,10,0,0,10,1,20,0,0,0,0,0,0,0,0,2,2,3,4,1,2,68,0,0,3,7,3,2,7,4,2,7,12,4,3,3,1,3,12,5,,,,1,7,4,3,0,0,0,0,1,4,2,2,1,5,10,1,,2,3,4,,,,,,2,,,1,9,1,2,1,3,,1,,1,2,,,,,,,,,,,,,,,4,11,,,,,,,,,,,,,2,,,,,,,,,4,2,,,,,,,1,1,1,1,1,1,,,,,,2,2,2,3,4,3,2,3,4,4,5,2,3,2,3,3,3,2,3,2,1,3,2,3,3,3,1.047461460599
1,1,1,6,8,2,1,1,2,5,6,7,8,9,10,11,,,,,,,2,0,8,0,1,0,2,0,0,0,0,0,0,20,0,10,1,1,2,3,4,1,70,0,15,3,9,7,9,2,1,2,5,7,3,6,6,3,11,7,3,,,,3,7,5,5,0,0,0,0,3,3,3,3,1,5,10,3,,2,4,6,,,,,,1,5,1,,,1,1,2,4,,1,,1,1,1,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,2,,,,,,,,,3,1,,,,,,,1,1,1,1,3,2,5,,,,,3,2,5,4,5,5,5,5,4,2,5,5,5,2,3,3,1,1,2,2,1,3,3,3,4,2,1.047461460599
1,1,1,6,8,2,1,1,2,5,7,10,11,12,,,,,,,,,1,30,8,0,0,30,0,10,7,30,10,0,0,0,0,40,1,3,3,12,3,2,10,5,4,3,4,2,2,7,8,7,8,6,3,1,2,4,7,12,11,,,,7,8,10,10,0,0,0,0,1,2,3,3,1,5,10,3,,4,6,,,,,,,1,2,2,,,1,1,4,10,,1,,1,1,4,6,8,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,,3,8,,,,,,,1,1,1,1,1,5,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,1,3,2,2,2,2,2,3,3,4,4,1.047461460599
1,1,1,6,8,2,1,1,2,8,,,,,,,,,,,,,2,0,5,0,0,10,1,20,0,20,0,20,0,0,0,0,1,5,2,1,12,4,200,6,0,3,7,2,7,9,1,2,1,3,6,5,6,1,3,6,7,,,,1,7,10,12,0,0,0,0,1,4,2,4,1,5,10,3,,4,5,6,,,,,,1,4,9,,,1,1,,,2,7,,1,1,4,5,,,,,,,,,,,,4,,98,,,,,,,,,,,,,2,,,,,,,,,6,8,,,,,,,1,1,1,1,1,5,,,,,,3,2,3,4,5,5,3,3,4,4,5,5,2,4,3,1,3,2,3,2,3,3,3,3,3,3,1.047461460599
1,1,1,6,8,2,1,1,2,8,10,12,,,,,,,,,,,3,0,12,0,1,0,0,20,0,10,0,20,0,30,0,20,2,2,3,2,3,2,3,0,1,3,1,8,6,8,1,2,1,5,1,4,7,6,11,6,3,,,,2,5,0,0,0,0,0,0,2,1,2,1,1,5,10,1,,8,,,,,,,,2,,,4,1,2,,,,,,3,1,2,,,,,,,,,,,,,,,4,11,,,,,,,,,,,,,1,2,,,,,,,3,,1,2,4,,,,,1,1,1,1,1,2,,,,,,2,3,2,2,3,3,3,4,3,4,3,2,3,2,3,3,3,2,3,3,3,3,3,2,3,4,1.047461460599
1,1,1,6,8,2,1,2,4,5,6,10,,,,,,,,,,,5,30,13,10,0,10,0,0,3,0,3,0,0,0,0,0,1,1,4,2,6,3,3,18,0,1,7,9,2,3,8,1,9,8,4,6,6,1,3,12,11,,,,8,3,5,4,0,0,0,0,1,3,1,2,1,5,10,1,,3,6,,,,,,,2,,,1,4,2,,,,,,2,1,2,,,,,,,,,,,,,,,1,7,,,,,,,,,,,,,1,2,,,,,,,1,,6,,,,,,,1,1,1,1,3,5,,,,,,2,3,3,3,4,3,5,2,3,3,3,3,3,3,3,1,3,2,5,3,3,3,3,1,3,3,1.047461460599
1,1,1,6,9,2,1,1,,,,,,,,,,,,,,,4,20,14,0,0,30,0,0,0,0,0,0,0,0,0,0,5,5,5,4,2,2,5,0,0,5,1,6,2,3,1,2,3,8,6,4,2,6,14,5,12,,,,3,2,2,2,0,0,0,0,2,4,1,1,2,,,,2,5,,,,,,,,2,,,4,1,2,,,,,,3,1,2,,,,,,,,,,,,,,,1,9,,,,,,,,,,,,,2,,,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,4,4,4,4,2,5,4,4,4,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0.99723676582902
1,1,1,6,9,2,1,1,2,,,,,,,,,,,,,,4,30,5,30,2,15,3,0,0,0,0,0,0,0,0,0,2,4,2,6,4,1,25,0,0,3,7,9,7,9,1,,1,8,3,6,2,6,3,5,,,,,1,,0,0,0,0,0,0,4,4,2,3,2,,,,2,1,2,6,,,,,,2,,,9,,1,1,,2,,1,,1,1,5,7,8,,,,,,,,,,,3,,4,,,,,,,,,,,,,2,,,,,,,,,3,1,,,,,,,2,,,,,,,,,,,,5,4,2,2,4,3,2,4,5,2,1,5,4,3,3,3,4,3,3,3,3,3,3,3,3,0.99723676582902
1,1,1,6,9,2,1,1,2,10,,,,,,,,,,,,,3,30,6,0,0,30,1,0,1,0,1,0,1,0,1,0,3,4,4,3,4,3,5,1,0,4,9,10,2,6,1,8,4,9,6,1,6,2,11,7,12,,,,3,1,1,1,0,0,0,0,3,4,2,2,2,,,,2,2,3,,,,,,,1,4,6,,,2,,,,,,2,1,1,7,,,,,,,,,,,,,3,,4,7,,,,,,,,,,,,2,,,,,,,,,1,8,,,,,,,2,,,,,,,,,,,,3,3,3,4,3,4,2,1,1,2,3,1,4,5,4,5,4,4,5,5,5,4,5,2,4,0.99723676582902
1,1,1,6,9,2,1,1,2,10,,,,,,,,,,,,,4,30,7,0,0,0,0,30,0,0,0,0,0,0,0,0,3,3,3,3,4,2,12,1,1,4,1,9,2,3,1,7,4,1,3,6,5,8,11,12,7,,,,7,3,0,0,0,0,0,0,2,4,2,3,2,,,,2,1,2,3,4,,,,,1,5,7,,,2,,,,,,1,1,2,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,2,,,,,,,,,1,1,,,,,,,1,1,1,1,1,1,3,4,,,,2,1,3,3,4,3,3,2,3,3,4,4,3,4,3,3,3,4,3,3,4,3,3,3,3,3,0.99723676582902
